order_id,pickup_lat,pickup_lng,dropoff_lat,dropoff_lng,pickup_time,dropoff_time,driver_id
order_1,13.637502277361806,119.05327051350639,17.98928903895593,119.28330072605388,2023-07-02 06:18:15,2023-07-02 14:26:31.352909,driver_8
order_2,17.485414477795686,121.51027948641256,15.692024677004367,119.41059764207233,2023-07-16 05:35:52,2023-07-16 12:42:16.345931,driver_17
order_3,16.91335549593115,120.4038511413744,16.223632597248407,121.28162921975655,2023-07-10 15:41:36,2023-07-10 18:19:19.643490,driver_3
order_4,12.117299418292497,121.2138063162143,15.053011289242704,120.43370077669923,2023-07-31 09:52:56,2023-07-31 19:39:06.035949,driver_16
order_5,13.577068991600918,120.8616197208045,17.347411903661097,121.48577209317054,2023-07-09 06:22:04,2023-07-09 15:33:38.507965,driver_3
order_6,13.144986961768053,119.14032254594869,14.239089373257324,120.00180853580773,2023-07-03 02:46:48,2023-07-03 04:58:17.906542,driver_10
order_7,17.464458744404084,121.33717653588947,17.604423032041403,121.6390390835332,2023-07-15 01:27:09,2023-07-15 02:33:08.286545,driver_3
order_8,14.226885710228572,118.9897600484684,13.949040558292255,119.9247995545574,2023-07-31 23:14:41,2023-08-01 02:36:53.086500,driver_9
order_9,17.312880705287178,118.04190391995108,15.404750595153542,120.37181094513532,2023-07-28 22:19:21,2023-07-29 05:49:15.449113,driver_16
order_10,14.381510871871996,118.77636589539863,17.061399859684474,121.26914917783448,2023-07-06 13:58:53,2023-07-07 02:21:12.741182,driver_17
order_11,16.414368431483478,121.87901253768771,17.396855849844933,119.15994482573984,2023-07-17 14:08:33,2023-07-17 21:52:34.304824,driver_2
order_12,13.164829895302079,119.4633561400604,14.057195876499808,119.6850426407585,2023-07-08 01:23:52,2023-07-08 04:04:07.790217,driver_3
order_13,18.329344496398722,118.09848804678082,13.493316625400476,119.2938292414087,2023-07-11 21:48:27,2023-07-12 15:26:56.460565,driver_3
order_14,17.214683244163204,121.28861735039938,14.741430945225861,121.05073872373387,2023-07-07 18:05:39,2023-07-08 00:11:51.902897,driver_16
order_15,17.564644657816885,118.83596670286794,16.739210562452463,118.26936917090102,2023-07-09 14:31:24,2023-07-09 15:55:48.780287,driver_19
order_16,13.067312908097167,120.03507464462454,18.023747454605324,121.01981417585414,2023-07-05 05:54:54,2023-07-05 23:31:19.032656,driver_6
order_17,14.876525147321388,121.13868200058604,15.976795628328915,120.69997133470017,2023-07-14 06:18:48,2023-07-14 08:39:47.699740,driver_16
order_18,17.038829432278337,120.90244732281904,18.189274062400962,119.8884937070621,2023-07-02 10:48:11,2023-07-02 15:32:35.340752,driver_5
order_19,13.248325250742392,118.9561195605585,18.128332659795724,119.24689262176057,2023-07-05 04:45:30,2023-07-05 15:45:41.373471,driver_6
order_20,12.315944827599642,119.89930333294838,16.45586790316265,119.97242262318744,2023-07-09 06:09:23,2023-07-09 18:18:23.874867,driver_5
order_21,12.963718996127886,118.96412124434728,14.376066834606721,118.56208089215359,2023-07-02 10:07:00,2023-07-02 12:42:52.651147,driver_10
order_22,12.27952232607053,118.31968622906685,15.69868179175033,121.19080347314502,2023-07-09 04:14:34,2023-07-09 20:00:36.598087,driver_20
order_23,16.726958182352085,119.08990954288187,17.232285540289475,120.14263335796201,2023-07-25 22:20:55,2023-07-26 02:49:49.599255,driver_15
order_24,12.114793577452868,119.77246318048037,15.822761213998024,120.04886099358369,2023-07-15 23:29:39,2023-07-16 09:31:16.385365,driver_7
order_25,17.092458733591954,120.60999642467625,15.531813686882895,118.43026019380338,2023-07-28 10:09:40,2023-07-28 15:02:07.230549,driver_17
order_26,12.295115701446454,120.83566766627172,17.05688763836952,119.53278537924419,2023-07-20 01:28:14,2023-07-20 20:35:42.106377,driver_13
order_27,13.524714773837378,120.78053224386593,13.139015318444473,121.81207110100297,2023-07-28 07:46:02,2023-07-28 12:03:06.673323,driver_8
order_28,18.419984556641918,120.37129861313193,12.504832157455471,121.88648357736511,2023-07-23 14:52:59,2023-07-24 16:02:42.429864,driver_7
order_29,16.070425674296672,119.2305872143095,17.19136432665,118.30000181323214,2023-07-28 04:09:08,2023-07-28 07:23:58.452622,driver_16
order_30,14.438148239797684,121.98370953471587,12.085006919656403,118.56850720746614,2023-07-08 13:22:16,2023-07-09 02:42:37.542965,driver_4
order_31,15.396825199084258,120.85287398755479,13.1082183358238,121.33425073689298,2023-07-15 09:51:42,2023-07-15 15:25:37.321401,driver_3
order_32,17.582148828896074,119.17295554280999,14.721836353060606,119.81638768556954,2023-07-18 10:01:30,2023-07-18 14:48:28.876968,driver_15
order_33,14.933009296203767,118.95942602708617,15.460424163219448,121.81133415497365,2023-07-20 05:00:40,2023-07-20 11:02:57.891060,driver_15
order_34,17.348811373801343,120.11540698060834,14.541425965219853,119.0434257503672,2023-07-13 23:49:21,2023-07-14 09:01:41.839521,driver_5
order_35,15.13956478237747,120.14674667352108,12.578346446135969,121.37243236848984,2023-07-10 21:25:37,2023-07-11 01:40:55.885390,driver_15
order_36,18.498772144116725,119.80338390733297,13.794734766575708,119.41050050442398,2023-07-14 09:36:44,2023-07-14 17:38:36.742695,driver_16
order_37,12.26636493907417,119.44650250152127,12.871461078931267,121.8619418787932,2023-07-12 11:32:06,2023-07-12 16:14:04.181080,driver_1
order_38,16.86302346770271,119.10347609453775,18.07912228985081,119.71061176494099,2023-07-12 02:11:13,2023-07-12 05:32:39.437797,driver_3
order_39,13.581130996882465,120.48297154531265,15.156356770472973,119.04718965469657,2023-07-05 15:03:25,2023-07-05 18:56:01.330641,driver_13
order_40,16.233285029867968,121.35995996929232,14.487233995904395,119.90115617156248,2023-07-25 12:04:52,2023-07-25 17:53:25.242164,driver_12
order_41,12.51063722556385,118.72783354922193,16.19739330257966,119.012697530994,2023-07-10 06:46:17,2023-07-10 19:27:36.710928,driver_12
order_42,13.68667635279068,120.79506462502127,15.741136762274957,118.2186083513261,2023-07-12 13:11:28,2023-07-13 01:21:57.769811,driver_8
order_43,17.802930266368573,118.8834132027665,17.056625557983594,121.57148889838963,2023-07-04 17:47:09,2023-07-04 21:52:04.252798,driver_2
